# Kingdom of Loathing items that yield other items when used.
# Derived from {{acquire}} templates in the "When Used" section of every article in
# Category:Usable Items (and subcategories) on wiki.kingdomofloathing.com.
# Generated 2026-09-06 by scripts/fetch-kol-item-yields.mjs from 3402 pages.
#
# itemid: KoL's own item number, from the wiki's Cargo "Items" table. Empty when the
#         article has no Data: subpage to read one from.
# self_transform: all  = every yield is the same item in another state (e.g. a book
#                        becoming "<book> (used)") — no new items come out of it
#                 part = mixed; the self-transforming yields are prefixed with "*"
#                 no   = every yield is a different item, or the item pays only Meat
# meat: Meat the item pays out when used, as the wiki writes it ("400-600", "3,000",
#       "some"); " / " separates alternative outcomes. Empty = pays no Meat. Meat the
#       item COSTS you ({{meat|type=lose|...}}) is not counted here.
# class: what the userscript groups by; first match of multiuse, meat, random, items.
#        multiuse = using N at once decides what you get (from KoLMafia's MUSE recipes)
#        meat     = pays Meat; random = the wiki can only give a range or "some"
#        items    = a fixed set of items
# multiuse: the recipes, "N=what you get", "; "-separated. Empty unless class=multiuse.
# yields: "; "-separated; "xN" suffix is the quantity or range the wiki lists.
item	itemid	class	self_transform	meat	multiuse	yields
Home robotics kit	6078	items	no			pile of useless robot parts; homemade robot
Hot daub	5725	multiuse	no		1=ballpark hot daub; 15=hot daub bun; 17=foot-long hot daub; 19=hot daub stand	ballpark hot daub; hot daub bun; foot-long hot daub; hot daub stand
Hotel minibar key	8693	items	no			bottle of gin; bottle of rum; bottle of tequila; bottle of vodka; bottle of whiskey; boxed wine; fancy chocolate x2
Housekeeping automa-core	11376	items	no			portable housekeeping robot
How to Lose Friends and Attract Snakes	11763	items	all			*How to Lose Friends and Attract Snakes (used)
Hoyle's Guide to Reindeer Games	11769	items	all			*Hoyle's Guide to Reindeer Games (used)
Huge bowl of candy	6851	items	no			Angry Farmer candy; bag of W&Ws; box of Dweebs; Cold Hots candy; Daffy Taffy; Milk Studs; Mr. Mediocrebar; PEEZ dispenser; Rock Pops; Swizzler; Tasty Fun Good rice candy; Yummy Tummy bean; Ultra Mega Sour Ball
ICEbox	11537	random	no			1 xX; 0 xY
Ice-cold six-pack	138	items	no			ice-cold Sir Schlitz x6
Iceberglet	1423	items	no			ice baby; ice pick; ice skates; ice sickle
Imitation crab crate	3596	random	no			imitation crab meat x2-3; imitation crab zoea
Immense free-range mushroom	10487	items	no			mushroom slab; giant free-range mushroom
In-the-box spring shoes	11545	items	no			spring shoes
Infinite BACON machine	9025	items	no			BACON x100
Ingot of seal-iron	3932	items	no			bad-ass club
Inigo's Incantation of Inspiration (item)	4411	items	no			Inigo's Incantation of Inspiration (crumpled)
Interesting Coin Inheritance Letter	12276	items	no			Interesting Coin; Interesting Coin x3
Interesting-looking twig	3367	multiuse	no		100=house of twigs and spit	house of twigs and spit
Intricate clockwork birdhouse	6597	items	no			cuckoo clock
Intricate clockwork egg	6596	items	no			intricate clockwork birdhouse; intricate clockwork disc; intricate clockwork big hand; intricate clockwork little hand; intricate clockwork numeral I; intricate clockwork numeral II; intricate clockwork numeral III; intricate clockwork numeral IV; intricate clockwork numeral V; intricate clockwork numeral VI; intricate clockwork numeral VII; intricate clockwork numeral VIII; intricate clockwork numeral IX; intricate clockwork numeral X; intricate clockwork numeral XI; intricate clockwork numeral XII; intricate clockwork cuckoo
Jamfish jam	3641	items	no			toast with jam
January's Garbage Tote (unopened)	9689	items	no			January's Garbage Tote
Jolly Roger charrrm	411	items	no			Jolly Roger charrrm bracelet
Jolly Roger charrrm bracelet	413	items	no			charrrm bracelet; Jolly Roger charrrm
Jug of Sneaky Pete's Mojo	7251	items	no			shot of Sneaky Pete's Mojo x15
Junior Adventurer's kit	3445	items	no			Junior Adventurer's merit badge; STYX deodorant body spray; tin rations x3; trusty torch; white-label gin x3
Khaki duffel bag	7790	items	no			Cloaca-Cola helmet; Cloaca-Cola shield; Cloaca-Cola fatigues; Cloaca-Cola-issue combat knife; Cloaca grenade; New Cloaca-Cola; Cloaca-Cola; Cloaca-Cola knapsack; trench lighter
Knob Goblin lunchbox	2592	random	no			Knob pasty x1-2; thermos full of Knob coffee x1-2
Knob Kitchen grab-bag	401	random	no			Knob mushroom xsome; Knob sausage xsome; spices xsome; wad of dough xsome
Kobold treasure hoard	5294	meat	no	10		newborn kobold
Kokomo Resort Chip	8279	items	no			Golden Kokomo Resort Chip
Kramco Industries packing carton	10057	items	no			Kramco Sausage-o-Matic™
LI-11 Motor Pool voucher	9507	items	no			Asdon Martin keyfob
LOLmec statuette	8084	meat	no	1000000		
Lab-grown blood cubic zirconia	11986	items	no			blood cubic zirconia
Large box	832	random	no			Dungeons of Doom potion x4-6
Large stone triangle	3021	items	no			strange stone pyramid
Latte lovers club card	9988	items	no			Latte lovers member's mug
Lavender candygram	2313	items	no			lavender candy heart
Leftover Crimbo rations	4348	random	no			expired can of franks 'n' beans x1-2; expired bottle of peppermint schnapps x1-2
Lemony scales	7120	multiuse	no		4=lemon party hat; 5=lemon shirt; 6=lemon drop trousers	lemon party hat; lemon shirt; lemon drop trousers
Leprecondo	11861	items	no			11-leaf clover
Letter from Carrie Bradshaw	11259	items	no			Mr. Big's Wallet; Sexy Cosmo; red-soled high heels; Souvenir Chopsticks
Letter from King Ralph XI	1155	items	no			big rock; pork elf goodies sack; note from Clancy
Letter to Ed the Undying	7959	items	no			pork elf goodies sack; disassembled clover
Lewd playing card	3403	multiuse	no		52=deck of lewd playing cards	deck of lewd playing cards
License to Chill	9503	items	no			Afternoon Delight
Lil' Snowball Factory	11485	items	no			precision snowball x3
Little Geneticist DNA-Splicing Lab	7382	items	no			DNA extraction syringe
Little firkin	8568	items	no			martini; screwdriver; strawberry daiquiri; margarita; vodka martini; tequila sunrise; bottle of Amontillado; barrel-aged martini; barrel gun
Loaded serum blowgun	1347	items	no			empty blowgun; empty blowgun
Locked mumming trunk	9591	items	no			mumming trunk
Long skinny balloon	433	multiuse	no		2=balloon helmet; 3=balloon sword; 4=balloon shield; 7=balloon monkey	balloon helmet; balloon sword; balloon shield; balloon monkey
Longbox of Batfellow comics	11636	items	no			Batfellow comic x10
Loose Meats	12183	meat	no	X		
Lucky moai statuette	11771	items	no			11-leaf clover x3
Make-Your-Own-Vampire-Fangs kit	5301	items	no			plastic vampire fangs
MayDay™ supply package	10901	items	no			survival knife; crank-powered radio on a lanyard; headlamp; thermal blanket; atlas of local maps; emergency glowstick; spare battery; space blanket; single-use dust mask; gaffer's tape; 20-lb can of rice and beans; bar of freeze-dried water; expired MRE; cool mint precipice bar; carrot cake precipice bar
McHugeLarge deluxe ski set	11782	items	no			McHugeLarge duffel bag
Meat globe	636	meat	no	600-800		
Meat vortex	546	meat	no	some		
Meatball machine	10878	items	no			meatball
Medium slimy cyst	4093	items	no			Coily™; lawn dart; old school flying disc; Coily™; lawn dart; old school flying disc
Medium stone triangle	3022	items	no			strange stone pyramid
Mer-kin cookiestove	10392	items	no			personalizable gingerbread cookie
Mer-kin foodbucket	3676	random	no			sea broccoli x0-3; sea cauliflower x0-3; sea persimmon x0-3; sea blueberry x0-3
Mer-kin stashbox	3811	random	no			Mer-kin trailmap; sand dollar x30-50
Mer-kin thingpouch	3593	random	no			sand dollar x2-4; Mer-kin fastjuice; Mer-kin killscroll
Merc Core deployment orders	7806	items	no			one-day ticket to Conspiracy Island
Mermaid's purse	4211	random	no			sand dollar x1-3; barrrnacle (hatchling); bazookafish bubble gum; bottle of melodramamine; dull fish scale; eel battery; sea grease; sea salt crystal; shark cartilage; soggy seed packet; temporary teardrop tattoo
Miniborg Destroy-O-Bot	3114	items	no			Miniborg stomper; Miniborg strangler; Miniborg laser; Miniborg beeper; Miniborg hiveminder
Miniborg hiveminder	3113	items	no			Miniborg Destroy-O-Bot
Mint Salton Pepper's Peppermint Seed Catalog	5403	items	no			Peppermint Pip Packet
Mint condition Lil' Doctor™ bag	10165	items	no			Lil' Doctor™ bag
Mint condition magnifying glass	10884	items	no			cursed magnifying glass
Mint-in-box Moonthril Circlet	5183	items	no			Moonthril Circlet
Mint-in-box Moonthril Cuirass	5185	items	no			Moonthril Cuirass
Mint-in-box Moonthril Flamberge	5186	items	no			Moonthril Flamberge
Mint-in-box Moonthril Greaves	5184	items	no			Moonthril Greaves
Mint-in-box Moonthril Longbow	5187	items	no			Moonthril Longbow
Mint-in-box Powerful Glove	10437	items	no			Powerful Glove
Moist barrel	8574	items	no			barrel beryl; cast; concentrated magicalness pill; cute mushroom; enchanted barbell; giant moxie weed; Mountain Stream soda; vibrating mushroom
Mouldering barrel	8576	items	no			barrel beryl; creepy ginger ale; cute mushroom; haunted battery; scroll of drastic healing; synthetic marrow; the funk; vibrating mushroom
Mr. Big's Wallet	11281	meat	no	690		
Mummy wrapping	2634	multiuse	no		2=really thick bandage; 4=mummy mask; 6=gauze shorts; 10=gauze hammock	really thick bandage; mummy mask; gauze shorts; gauze hammock
Murgatroyd diode	10314	items	no			enhanced signal receiver
Mushroom badge	10496	items	no			mushroom cap
Mushroom cap	10493	items	no			mushroom shield
Mushroom pants	10495	items	no			mushroom badge
Mushroom slab	10490	items	no			mushroom cap
My First Paycheck envelope	11489	items	no			Elf Guard MPC x20
Mysterious Black Box	9742	items	no			rubber doll head
Mysterious Blue Box	9741	items	no			rubber doll body
Mysterious Green Box	9740	items	no			plastic doll arms
Mysterious Red Box	9739	items	no			plastic doll legs
Möbius ring box	11941	items	no			Möbius ring
NPZR chemistry set	4431	random	no			invisibility potion xsome; irresistibility potion xsome; irritability potion xsome
Nest egg	4731	meat	no	150		
Neverending Party favor	9945	items	no			party beer bomb x3; sweet party mix x3; party balloon x3; fancy party pants; party crasher (off-hand); Party Planning on a Budget; PARTY HARD T-shirt; party beer bomb; sweet party mix; party balloon; Neverending Party guest pass; party beer bomb; sweet party mix; party balloon
New-in-box toy Cupid bow	11836	items	no			toy Cupid bow
Ninja pirate zombie robot head	1359	items	no			ninja pirate zombie robot
Normal barrel	8569	items	no			a little sump'm sump'm; barrel gun; barrel-aged martini; bottle of Amontillado; pink pony; rockin' wagon; roll in the hay; slip 'n' slide; slap and tickle
Old coin purse	1918	meat	no	450-550		
Old leather wallet	1917	meat	no	400-600		
Old-fashioned Crimbo Pressie	3115	items	no			handmade hobby horse; ball-in-a-cup; set of jacks
Onyx bishop	10626	items	no			Fancy chess set
Onyx king	10623	items	no			Fancy chess set
Onyx knight	10627	items	no			Fancy chess set
Onyx pawn	10628	items	no			Fancy chess set
Onyx queen	10624	items	no			Fancy chess set
Onyx rook	10625	items	no			Fancy chess set
Orange and black Crimboween candy	2220	items	no			loose teeth
Orange candygram	2312	items	no			orange candy heart
Orcish meat locker	84	meat	no	90-110		
Ornate ancient cursed chest	3017	random	no			cursed piece of thirteen xsome; cursed black pearl onion xsome; cursed sea biscuit xsome; cursed bottle of rum xsome; cursed bottle of black-label rum xsome; cursed cannonball xsome; cursed voodoo skull xsome; cursed dirty joke scroll xsome
Pack of Alice's Army Cards	4966	items	no			Alice's Army Cards; Alice's Army Cards; Alice's Army Cards; Alice's Army Cards; Alice's Army Cards
Pack of Alice's Army Foil Cards	4987	items	no			Alice's army foil cards; Alice's army foil cards; Alice's army foil cards; Alice's army foil cards; Alice's army foil cards; Alice's army foil cards
Pack of Every Card	8381	items	no			Deck of Every Card
Pack of KWE trading card	1998	items	no			KWE Trading Cards; stick of "gum"
Pack of chewing gum	1767	items	no			jabañero-flavored chewing gum; lime-and-chile-flavored chewing gum; pickle-flavored chewing gum; tamarind-flavored chewing gum
Pack of pogs	5505	items	no			pog 01 (spider); pog 02 (Knob goblin); pog 03 (warwelf); pog 04 (skleleton); pog 05 (ninja snowman); pog 06 (filthy hippy); pog 07 (orcish frat boy); pog 08 (hellion); pog 09 (pirate); pog 10 (hobo); pog 11 (Naughty Sorceress)
Packaged April Shower Thoughts Calendar	11883	items	no			April Shower Thoughts shield
Packaged Daylight Shavings Helmet	10803	items	no			Daylight Shavings Helmet
Packaged Everfull Dart Holster	11560	items	no			Everfull Dart Holster
Packaged June cleaver	10919	items	no			June cleaver
Packaged Jurassic Parka	10951	items	no			Jurassic Parka
Packaged Monodent of the Sea	11974	items	no			Monodent of the Sea
Packaged Portable Laughing Stock	12269	items	no			Portable Laughing Stock
Packaged Roman Candelabra	11608	items	no			Roman Candelabra
Packaged SpinMaster™ lathe	10581	items	no			SpinMaster™ lathe
Packaged backup camera	10748	items	no			backup camera
Packaged cold medicine cabinet	10814	items	no			cold medicine cabinet
Packaged familiar scrapbook	10760	items	no			familiar scrapbook
Packaged industrial fire extinguisher	10796	items	no			industrial fire extinguisher
Packaged knock-off retro superhero cape	10646	items	no			unwrapped knock-off retro superhero cape
Packaged luxury garment	11695	items	no			governor's daughter's pearl hairpin; governor's daughter's petticoats; governor's daughter's lace collar
Packaged miniature crystal ball	10729	items	no			miniature crystal ball
Packaged model train set	11044	items	no			Model train set
Packaged prismatic beret	11918	items	no			prismatic beret
Packet of mayfly bait	3321	items	no			mayfly bait necklace
Packet of orchid seeds	5113	items	no			tropical orchid x6
Palm frond	2605	multiuse	no		2=palm-frond fan; 3=palm-frond net; 4=palm-frond whip; 5=palm-frond capris; 6=extra-large palm-frond toupee; 7=palm-frond cloak	palm-frond fan; palm-frond net; palm-frond whip; palm-frond capris; extra-large palm-frond toupee; palm-frond cloak
Pantogram	9572	items	no			portable pantogram
Paperclip	4856	multiuse	no		1=paperclip sproinger; 10=paperclip-on tie; 15=paperclip turban; 20=paperclip cape; 25=paperclip pants	paperclip sproinger; paperclip-on tie; paperclip turban; paperclip cape; paperclip pants
Papier-mâché bowl	5876	items	no			papier-mâché trophy piñata
Papier-mâché glob	5864	multiuse	no		2=papier-mochi; 3=papier-m&acirc;chaeranthera; 4=papier-m&acirc;ch&eacute; toothpicks; 5=papier-m&acirc;ch&eacute;te; 6=papier-m&acirc;chine gun; 7=papier-masque; 9=papier-mitre; 11=papier-m&acirc;churidars; 23=papier-m&acirc;ch&eacute; plaque; 37=papier-m&acirc;ch&eacute; handle; 69=papier-m&acirc;ch&eacute; base; 111=papier-m&acirc;ch&eacute; bowl	papier-mochi; papier-mâchaeranthera; papier-mâché toothpicks; papier-mâchéte; papier-mâchine gun; papier-masque; papier-mitre; papier-mâchuridars; papier-mâché plaque; papier-mâché handle; papier-mâché base; papier-mâché bowl
Pasta wand loot box	12222	items	no			legendary pasta wand
Penultimate Fantasy chest	604	meat	no	100-200		cocoa eggshell fragment xsome; phonics down xsome; scroll of drastic healing xsome; soft green echo eyedrop antidote xsome; super-spiky hair gel xsome; tiny house xsome
Peppermint sprout	5395	multiuse	no		1=peppermint twist; 2=peppermint patty; 3=peppermint crook; 10=cane-mail pants; 11=peppermint rhino baby; 15=cane-mail shirt	peppermint twist; peppermint patty; peppermint crook; cane-mail pants; peppermint rhino baby; cane-mail shirt
Pete & Jackie's Dragon Tooth Emporium Catalog	5879	items	no			packet of dragon's teeth
Picky tweezers	7936	items	no			single atom
Piece of driftwood	10281	items	no			driftwood beach comb
Pile of Trainbot parts	11049	items	no			Trainbot circuitry; Trainbot linkages; Trainbot optics; Trainbot plating; Trainbot servomotors; Trainbot tubing
Pile of candy	1161	random	no			Angry Farmer candy xsome; marzipan skull xsome; Tasty Fun Good rice candy xsome; Yummy Tummy bean xsome
Pile of dusty animal bones	1798	random	no			dusty animal bones x1-2
Pile of sand	10261	items	no			large pile of sand
Pink candygram	2311	items	no			pink candy heart
Pirate encryption key alpha	11386	items	part			*pirate encryption key alpha; pirate encryption key bravo; pirate encryption key charlie; pirate encryption key delta; pirate encryption key (complete)
Pirate skull	407	items	no			spooky pirate skeleton
Pixel coin	8299	meat	no	2000		
Pixellated moneybag	4593	meat	no	450-550		
Plaid swatch	7359	multiuse	no		2=plaid bandage; 4=plaid pocket square; 6=plaid skirt	plaid bandage; plaid pocket square; plaid skirt
Plastic rock	7515	items	no			witch's spare house key
Plump free-range mushroom	10484	items	no			mushroom filet x3; free-range mushroom
Plus sign	818	random	no			small box xsome; large box xsome; magic whistle xsome; baby killer bee xsome; royal jelly xsome; mind flayer corpse xsome; cornuthaum xsome; vorpal blade xsome; pile of gold coins xsome; ring of aggravate monster xsome
Pocket Guide to Mild Evil	11322	items	all			*Pocket Guide to Mild Evil (used)
Pocket Meteor Guide	9511	items	all			*Pocket Meteor Guide (well-thumbed)
Pocket lint (blue)	6877	items	no			bowl of petunias
Pocket lint (green)	6878	items	no			bowl of petunias
Pocket lint (orange)	6880	items	no			bowl of petunias
Pocket lint (white)	6879	items	no			bowl of petunias
Pokéfam Guide to Capturing All of Them	9759	items	no			packet of tall grass seeds
Pork Elf toiletries kit	12192	items	no			Pork Elf mouthwash; Pork Elf deodorant; Pork Elf toothpaste
Pork elf goodies sack	707	random	no			hamethyst xsome; baconstone xsome; porquoise xsome
Portable Spacegate	9465	items	all			*portable Spacegate (open)
Portable photocopier	4864	items	no			photocopied monster; photocopied monster
Possessed sugar cube	7478	multiuse	no		1=sugar fairy; 3=sugar bunny; 11=sweet tooth	sugar fairy; sugar bunny; sweet tooth
Power seed	10737	items	no			potted power plant
Present	647	items	no			box; wrapping paper
Pulled green taffy	6363	items	no			envyfish egg
Pumpkin	4761	items	no			pumpkin juice x3
Ragged wool yarn	11741	items	no			perfect Christmas scarf
Record of infuriating silence	5971	items	all			*record of infuriating silence (used)
Record of infuriating silence (used)	5972	items	no			record of infuriating silence (used)
Record of menacing silence	5975	items	all			*record of menacing silence (used)
Record of menacing silence (used)	5976	items	no			record of menacing silence (used)
Record of tranquil silence	5973	items	all			*record of tranquil silence (used)
Record of tranquil silence (used)	5974	items	no			record of tranquil silence (used)
Red Roger's reliquary	10217	items	no			Red Roger's red right foot; Red Roger's red left foot; Red Roger's red right hand; Red Roger's red left hand
Red box	7228	items	no			red letter; red red wine; red rum; red velvet cake; red badge; red book; red coat; red-hot poker; red masque; red shirt; red shoe; Red X Shield
Red coin	10475	multiuse	no		11=red plumber's boots	red plumber's boots
Red gummi ingot	5454	items	no			gummi salamander
Red lava globs	8443	items	no			uncapped red lava bottle
Refurbished air fryer	10879	items	no			fried air
Replica Libram of Resolutions	11213	items	no			resolution: be kinder; resolution: be more adventurous; resolution: be luckier; resolution: be wealthier; resolution: be happier; resolution: be stronger; resolution: be smarter; resolution: be sexier; resolution: be feistier; resolution: be kinder
Replica Smith's Tome	11219	items	no			Flaskfull of Hollow x3; lump of Brituminous coal x3; handful of Smithereens x3
Replica Ten Dollars	11253	items	no			replica Mr. Accessory
Replica Tome of Snowcone Summoning	11197	items	no			blue snowcone; green snowcone; orange snowcone; purple snowcone; red snowcone; black snowcone
Retrospecs try-at-home kit	10431	items	no			Retrospecs
Returned Thinknerd package	7278	items	no			crying statue earrings; Gary Claybender's Time Screwer; plastic Duskwalker necklace; plastic replica blaster pistol; Space Tourist palmdoctor; wind-up ensign; wind-up navigation droid; wind-up owl; wind-up vampire teeth; wind-up Whatsian robot
Rock Garden Guide	11099	items	no			packet of rock seeds
Rockfish stomach	4153	items	no			live lobster; glistening fish meat; beefy fish meat; slick fish meat; shark cartilage; seaweed; sand dollar; dull fish scale; rough fish scale; Midget clownfish; halibut
Roll of Hob-Os	3427	random	no			sterno-flavored Hob-O xsome; frostbite-flavored Hob-O xsome; fry-oil-flavored Hob-O xsome; strawberry-flavored Hob-O xsome; garbage-juice-flavored Hob-O xsome
Roll of drink tickets	1429	random	no			bottle of gin xsome; bottle of rum xsome; bottle of tequila xsome; bottle of vodka xsome; bottle of whiskey xsome; boxed wine xsome; ice-cold Willer xsome
Roll of meat	9563	meat	no	50		dense meat stack; meat stack x5
Roll of toilet paper	1923	random	all			*roll of toilet paper xsome
Rolling pin	873	random	no			flat dough xsome
Rotting barrel	8575	items	no			barrel beryl; cute mushroom; Doc Galaktik's Ailment Ointment; extra-strength strongness elixir; jug-o-magicalness; Marquis de Poivre soda; suntan lotion of moxiousness; vibrating mushroom
Rubber doll head	10476	items	no			rubber baby doll
Rubber nubbin	7707	multiuse	no		11=rubber cape	rubber cape
Rum barrel charrrm	2957	items	no			rum barrel charrrm bracelet
Rum barrel charrrm bracelet	2959	items	no			charrrm bracelet; rum barrel charrrm
Rune-strewn spoon cocoon	10256	items	no			hewn moon-rune spoon
Rusty broken diving helmet	3602	items	no			rusty diving helmet
S.I.T. Course Voucher	11115	items	no			S.I.T. Course Completion Certificate
SMOOCH bottlecap	8446	meat	no	1000		
Sack lunch	4890	items	no			ghuol guolash; Spam Witch sammich; t8r tots; trollhouse cookies; brains casserole; chorizo taco; stuffed spooky mushroom; carob chunk noodles; boring spaghetti; delicious noodles; painful penne pasta; ravioli della hippy; cherry pie; fishy fish casserole; gnatloaf casserole; long pork casserole
Savings bondo	12308	items	no			meat paste x5
Scimitar cozy	6329	items	no			cozy scimitar
Scroll of pasta summoning	780	items	no			boring spaghetti; delicious noodles; delicious spicy noodles; painful penne pasta; ravioli della hippy; spicy noodles; fettucini Inconnu; gnocchetti di Nietzsche; spaghetti with Skullheads
Seal-clubbing club loot box	12133	items	no			legendary seal-clubbing club
Sealed TakerSpace letter of Marque	11686	items	no			TakerSpace letter of Marque
Secret from the future	4114	items	no			monstrous monocle; brazen bracelet; molten medallion; bewitching boots; bitter bowtie; musty moccasins
Secrets of the Master Egg Hunters	11761	items	all			*Secrets of the Master Egg Hunters (used)
Shanty: I'm Smarter Than a Drunken Sailor	12158	items	all			*Shanty: I'm Smarter Than a Drunken Sailor (used)
Shanty: Let's Beat Up This Drunken Sailor	12156	items	all			*Shanty: Let's Beat Up This Drunken Sailor (used)
Shanty: Look At That Drunken Sailor Dance	12160	items	all			*Shanty: Look At That Drunken Sailor Dance (used)
Shanty: Only Dogs Love a Drunken Sailor	12164	items	no			Shanty: Only Dogs Love Drunken Sailors (used)
Shanty: Who's Going to Pay This Drunken Sailor?	12162	items	all			*Shanty: Who's Going to Pay This Drunken Sailor? (used)
Shard of double-ice	5048	multiuse	no		5=double-ice cap; 7=double-ice box; 9=double-ice britches	double-ice cap; double-ice box; double-ice britches
Shiny stones	5644	meat	no	140-160		
Shrink-wrapped 2002 Mr. Store Catalog	11256	items	no			2002 Mr. Store Catalog
Shrink-wrapped Cincho de Mayo	11222	items	no			Cincho de Mayo
Shrink-wrapped Cup of 13s	12258	items	no			Cup of 13s
Shrunken head in a duffel bag	12047	items	no			shrunken head
Silver keg	4604	random	no			plastic cup of flat beer x15-20
Silver tongue charrrm	2986	items	no			silver tongue charrrm bracelet
Silver tongue charrrm bracelet	2987	items	no			charrrm bracelet; silver tongue charrrm
Single Alice's Army Foil	5008	items	no			Alice's army foil cards; Alice's army foil cards; Alice's army foil cards
Six pack of Mountain Stream	1786	items	no			Mountain Stream soda x6
Six-pack of New Cloaca-Cola	2449	items	no			New Cloaca-Cola x6
Skeleton	5881	multiuse	no		2=skeleton skis; 3=skeleton quiche; 4=skeletal scabbard; 5=crystal skeleton vodka; 7=skeletal skiff; 9=auxiliary backbone; 11=Bonestabber; 13=Lazybones&trade; recliner; 100=shaking skull	skeleton skis; skeleton quiche; skeletal scabbard; crystal skeleton vodka; skeletal skiff; auxiliary backbone; bonestabber; Lazybones™ recliner; shaking skull
Skeleton key ring	643	random	no			skeleton key x3-5
Ski resort souvenir crate	6728	random	no			Bottle of vodka xsome; Magical ice cubes xsome; Barbed-wire fence xsome; souvenir ski t-shirt
Slime convention swag bag	4184	items	no			slime convention flyers; slime convention coupons; slime convention pin; slime convention t-shirt
Slimy chest	3574	random	no			sand dollar x3-5; figurine of a sleek seal; sand dollar xsome; figurine of a sleek seal; figurine of a sleek seal xsome
Slow jam collection	4892	items	no			toe jam; traffic jam; space jam
Small Crimbo Pressie	939	items	no			Hanukkimbo dreidl; imitation nice watch; tiny plastic sword; bow
Small box	831	random	no			Dungeons of Doom potion x2-4
Small pile of sand	10260	items	no			pile of sand; large pile of sand
Small slimy cyst	4092	items	no			green peawee marble; brown crock marble; red China marble; lemonade marble; bumblebee marble; jet bennie marble; beige clambroth marble; steely marble; beach ball marble; black catseye marble; big bumboozer marble
Small stone triangle	3023	items	no			strange stone pyramid
Smoked potsherd	4680	multiuse	no		5=pottery yo-yo; 7=pottery hat; 8=pottery club; 9=pottery shield; 11=pottery training pants	pottery yo-yo; pottery hat; pottery club; pottery shield; pottery training pants
Smut orc keepsake box	5788	meat	no	1,400-1,500		morningwood plank xsome; raging hardwood plank xsome; weirdwood plank xsome; thick caulk xsome; long hard screw xsome; messy butt joint xsome
Snailmail bits	4457	multiuse	no		3=snailmail coif; 5=snailmail breeches; 8=snailmail hauberk	snailmail coif; snailmail breeches; snailmail hauberk
Snake skin	9992	multiuse	no		11=snakeskin cowboy hat; 23=snakeskin thighboots; 37=snakeskin jacket	snakeskin cowboy hat; snakeskin thighboots; snakeskin jacket
Snakehead charrrm	485	items	no			Talisman o' Namsilat
Solid gold jewel	8088	meat	no	100000		
SongBoom™ BoomBox Box	9920	items	no			SongBoom™ BoomBox
Space bar	7544	items	no			space port x3
Space jam	4887	items	no			space jam toast
Space junk	7523	multiuse	no		5=space invader; 10=space bar; 15=space needle; 20=space heater	space invader; space bar; space needle; space heater
Spelunker of Fortune	8073	items	all			*Spelunker of Fortune (used)
Spelunker's Guild prize sack	8077	items	no			Spelunker's fedora; Spelunker's khakis; Spelunker's whip; solid gold jewel
SpinMaster™ lathe	10582	items	no			flimsy hardwood scraps
Spirit blanket	6889	items	no			spirit bed
Spirit mattress	6888	items	no			spirit bed
Spirit pillow	6886	items	no			spirit bed
Spirit sheet	6887	items	no			spirit bed
Spooky Putty sheet	3665	items	no			Spooky Putty snake; Spooky Putty mitre; Spooky Putty monster
Spooky bark	4254	multiuse	no		5=bark bracelet; 7=bark beret; 9=bark boxers	bark bracelet; bark beret; bark boxers
Spooky cosmetics bag	1134	random	no			spooky eyeliner x4-6; spooky lipstick x4-6
Spoon	11868	items	no			unironic knife
St. Sneaky Pete's Day goodies basket	1529	items	no			fake plastic grass
Stick	2110	multiuse	no		2=fire	fire
Stock Certificate	11951	meat	no	X		
Stolen meatpouch	2864	meat	no	30-50		
Structural ember	11647	random	no			morningwood plank xsome; raging hardwood plank xsome; weirdwood plank xsome; thick caulk xsome; long hard screw xsome; messy butt joint xsome
Stuffed treasure chest	3949	random	no			stuffed Baron von Ratsworth xsome; stuffed crazy bastard sword xsome; stuffed martini xsome; stuffed Meat xsome; stuffed mink xsome; stuffed monocle xsome; stuffed teddy butler xsome; stuffed tin of caviar xsome
Sturdy Crimbo crate	3612	items	no			Bulky Buddy Box (hatchling); doll house; dollhive; evil teddy bear; pet rock; teddy borg; toothsome rock; teddy bear
Subscription cocoa dispenser	10652	items	no			fortifying hot cocoa; boiling hot cocoa; cool hot cocoa; hot cocoa au beurre; hot cocoa with rainbow marshmallows; overly-fancy hot cocoa
Superheated metal	8524	multiuse	no		5=SMOOCH bracers; 7=SMOOCH kneepads; 9=SMOOCH spaulders; 11=SMOOCH codpiece; 13=SMOOCH breastplate	SMOOCH bracers; SMOOCH kneepads; SMOOCH spaulders; SMOOCH codpiece; SMOOCH breastplate
Suspicious package	9492	items	no			Kremlin's Greatest Briefcase
Taco Dan's Taco Stand Flier	6051	items	no			Taco Dan's Taco Stand Taco; Taco Dan's Taco Stand Chillacious Churro; Taco Dan's Taco Stand Chimichangarita
Tales of a Kansas Toymaker	4843	items	all			*Tales of a Kansas Toymaker (used)
Tarnished luggage key	9313	items	no			recovered cufflinks
Tarrrnish charrrm	2974	items	no			tarrrnished charrrm bracelet
Tarrrnished charrrm bracelet	2975	items	no			charrrm bracelet; tarrrnish charrrm
Ten-leaf clover	24	items	no			disassembled clover
The Art of Slapfighting	4406	items	all			*The Art of Slapfighting (used)
The Autobiography Of Dynamite Superman Jones	4410	items	no			Autobiography Of Dynamite Superman Jones (used)
